Graph,Subgraph Count
0_barabasi_albert_graph_m_1,5150
4_barabasi_albert_graph_m_1,5413
1_barabasi_albert_graph_m_1,7176
2_barabasi_albert_graph_m_1,7308
3_barabasi_albert_graph_m_1,8080
0_scale_free_graph_a_65_b_1_g_25,8924
3_scale_free_graph_a_65_b_1_g_25,10101
4_ferdos_renyi_graph_m_2000,10760
1_scale_free_graph_a_65_b_1_g_25,10795
3_ferdos_renyi_graph_m_2000,10823
1_ferdos_renyi_graph_m_2000,10838
0_ferdos_renyi_graph_m_2000,10865
2_ferdos_renyi_graph_m_2000,10980
2_scale_free_graph_a_65_b_1_g_25,11051
4_scale_free_graph_a_65_b_1_g_25,13162
4_barabasi_albert_graph_m_2,18765
0_barabasi_albert_graph_m_2,19612
2_barabasi_albert_graph_m_2,19650
3_barabasi_albert_graph_m_2,20292
0_scale_free_graph_a_35_b_3_g_35,20389
3_scale_free_graph_a_35_b_3_g_35,20410
2_scale_free_graph_a_35_b_3_g_35,20530
4_scale_free_graph_a_35_b_3_g_35,20722
1_barabasi_albert_graph_m_2,21361
1_scale_free_graph_a_35_b_3_g_35,24226
4_barabasi_albert_graph_m_3,35221
0_barabasi_albert_graph_m_3,37123
1_barabasi_albert_graph_m_3,41192
2_barabasi_albert_graph_m_3,42627
3_barabasi_albert_graph_m_3,47202
2_scale_free_graph_a_28_b_7_g_02,181729
4_scale_free_graph_a_28_b_7_g_02,205882
0_scale_free_graph_a_28_b_7_g_02,208173
3_scale_free_graph_a_28_b_7_g_02,214456
1_scale_free_graph_a_28_b_7_g_02,266657
